CITY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Adelaide,29.2,29.5,26.5,22.7,19,16.1,15.3,16.6,19,21.8,25.2,26.9
Brisbane,29.2,28.9,27.9,26,23.6,21.2,20.7,21.8,24.1,25.6,26.8,28.4
Canberra,28.7,27.7,24.8,20.5,16.3,12.5,11.8,13.5,16.6,19.9,23.3,26.2
Darwin,31.8,31.5,32.1,32.9,32.3,30.8,30.8,31.6,32.8,33.5,33.5,32.7
Hobart,22.2,22.1,20.3,17.8,15.1,12.4,12.3,13.7,15.4,17.3,18.9,20.4
Melbourne,26.3,26.5,24.1,20.4,16.6,13.7,13,14.5,16.6,19.3,22.1,24.2
Perth,31.2,31.5,29.6,26,22.3,19.5,18.5,19.1,20.5,23.4,26.7,29.5
Sydney,27,26.7,25.3,23,20.3,17.8,17.1,18.7,21.1,23,24.1,26
